"","temp","dewp","max","min","NUM_CRIMES"
"636",60.1,35.5,70,51.1,735
"637",56,45.4,70,50,634
"638",60.7,55.9,64.9,50,702
"639",61.8,58.4,64.9,59,772
"640",61,57.7,64,57,862
"641",59.7,57,64.9,55.9,707
"642",61.9,56.4,66.9,55.9,772
"643",65.2,56.4,75,57,743
"644",68.7,57.7,80.1,60.1,805
"645",65.8,59.7,80.1,57.9,754
"646",65.2,57.4,73.9,55.9,863
"647",52.4,38,70,39.9,715
"648",55.9,45.7,64.9,39.9,682
"649",56,45.4,71.1,45,724
"650",63,49.9,73,45,697
"651",62.3,53.6,68,51.1,746
"652",47.9,36.9,69.1,37.9,693
"653",50.2,39.9,66,37.9,821
"654",58,52.6,69.1,37.9,823
"655",68.5,62.7,72,53.1,790
"656",71.8,64.5,82,64.9,817
"657",73.9,58.8,82,63,774
"658",60.4,46,75.9,48.9,712
"659",54.8,47.2,71.1,48.9,717
"660",47.7,33.9,55.9,43,760
"661",46.6,32.2,60.1,37,773
"662",55,43.7,73,37,785
"663",53.7,40.3,73,41,770
"664",46,36.8,59,36,736
"665",47.8,42.1,54,36,699
"666",47.6,42.6,51.1,44.1,730
"667",48.9,43.4,62.1,37.9,802
"668",65.8,58.1,70,59,831
"669",54.5,49.3,71.1,50,786
"670",47.9,41.4,57.9,37.9,867
"671",65.3,55.7,75,41,910
"672",62.3,57.5,75,57,749
"673",56,50.5,66.9,48,783
"674",52.8,44.1,66.9,39.9,783
"675",54.7,44.3,68,43,821
"676",56.1,46.5,69.1,42.1,753
"677",53.8,42.7,69.1,42.1,738
"678",55.7,45.4,66,43,644
"679",49.5,35.4,63,41,680
"680",49.4,33.8,63,41,723
"681",49.4,36.1,57,43,797
"682",41.8,31.4,52,30.9,780
"683",44.6,30.4,55.9,31.1,660
"684",48.4,35.5,60.1,35.1,670
"685",46,42.3,60.1,37.9,712
"686",48.1,41.7,60.1,37.9,770
"687",54.6,45.8,72,39,811
"688",62,49.2,72,44.1,794
"689",37.9,24.8,48,34,677
"690",29.2,15.9,39,23,663
"691",30.1,17.2,41,21.9,683
"692",32.8,25.5,41,21.9,722
"693",39.8,35.6,43,24.3,699
"694",40.3,36.5,44.6,37,534
"695",37.3,32.6,43,35.1,689
"696",37.8,32.2,46.9,30.9,719
"697",37.8,35,46.9,31.1,693
"698",44.1,40.5,50,32,693
"699",49.7,42.7,57,41,698
"700",40.8,34.8,57,34,697
"701",37.5,31.8,45,34,822
"702",37.4,30,41,35.1,835
"703",33.3,23.2,39.9,30,758
"704",31.5,26.8,34,28.9,595
"705",31.9,30.2,33.8,26.6,678
"706",32.9,30.3,41,25,688
"707",26.2,18.3,41,24.1,660
"708",21.3,12.7,27,17.1,606
"709",22.9,15.3,25,19,668
"710",20.1,12.5,25,18,612
"711",26,23.1,32,18,512
