"","month","year","temp","dewp","sndp","NUM_CRIMES"
"601","Sep",2016,73.8,66.4,0,818
"602","Sep",2016,68.8,59.9,0,767
"603","Sep",2016,64.7,51.4,0,758
"604","Sep",2016,66.5,51.9,0,793
"605","Sep",2016,72.2,58.3,0,786
"606","Sep",2016,69.4,59.2,0,820
"607","Sep",2016,68.2,57.5,0,823
"608","Sep",2016,72,60.8,0,807
"609","Sep",2016,73.9,62.3,0,834
"610","Sep",2016,69.1,54.7,0,781
"611","Sep",2016,71.4,53.2,0,712
"612","Sep",2016,74.8,54.9,0,792
"613","Sep",2016,70.2,60.9,0,731
"614","Sep",2016,71.4,63.4,0,831
"615","Sep",2016,71.7,65.4,0,845
"616","Sep",2016,68.5,62.5,0,833
"617","Sep",2016,71.7,62.7,0,809
"618","Sep",2016,65.9,48.1,0,764
"619","Sep",2016,60.1,35.5,0,735
"620","Sep",2016,56,45.4,0,634
"621","Sep",2016,60.7,55.9,0,702
"622","Sep",2016,61.8,58.4,0,772
"623","Oct",2016,61,57.7,0,862
"624","Oct",2016,59.7,57,0,707
"625","Oct",2016,61.9,56.4,0,772
"626","Oct",2016,65.2,56.4,0,743
"627","Oct",2016,68.7,57.7,0,805
"628","Oct",2016,65.8,59.7,0,754
"629","Oct",2016,65.2,57.4,0,863
"630","Oct",2016,52.4,38,0,715
"631","Oct",2016,55.9,45.7,0,682
"632","Oct",2016,56,45.4,0,724
"633","Oct",2016,63,49.9,0,697
"634","Oct",2016,62.3,53.6,0,746
"635","Oct",2016,47.9,36.9,0,693
"636","Oct",2016,50.2,39.9,0,821
"637","Oct",2016,58,52.6,0,823
